Verse Number, Verse Text
4,Thrice come ye to our home thrice to the righteous folk thrice triply aid the man who well deserves yo ur 
5,Thrice O ye Asvins bring to us abundant wealth: thrice in the Gods' assembly thrice assist our thought s. 
6,Thrice Asvins grant to us the heavenly medicines thrice those of earth and thrice those that the waters hold 
7,Thrice are ye to be worshipped day by day by us: thrice O ye Asvins ye travel around the earth. Car-bome from far away O ye Nasatyas come like vital air to bodies come ye to the three. 
8,Thrice O ye Asvins with the Seven Mother Streams; three are the jars the triple offering is prepared. Three are the worlds and moving on above the sky ye guard the firm-set vault of heaven through days an d 
9,Where are the three wheels of your triple chariot where are the three seats thereto firmly fastened? When will ye yoke the mighty ass that draws it to bring you to our sacrifice. Nasatyas? 
10,Nasatyas come: the sacred gift is offered up; drink the sweet juice with lips that know the sweetness w ell. 
1,1 Come O Nasatyas with the thrice-eleven Gods; come O ye Asvins to the drinking of the meath. Make long our days of life and wipe out all our sins: ward off our enemies; be with us evermore. 
12,Borne in your triple car O Asvins bring us present prosperity with noble offspring. 
1,AGNI 1 first invoke for our prosperity; I call on Mitra Varuna to aid us here. 
1,call on Night who gives rest to all moving life; I call on Savitar the God to lend us help. 
2,Throughout the dusky firmament advancing laying to rest the immortal and the mortal 
3,The God moves by the upward path the downward; with two bright Bays adorable he journeys. Savitar comes the God from the far distance and chases from us all distress and sorrow. 
4,His chariot decked with pearl of various colours lofty with golden pole the God hath mounted 
5,Drawing the gold-yoked car his Bays white-footed have manifested light to all the peoples. 
6,Three heavens there are; two Savitar's adjacent: in Yama's world is one the home of heroes 
7,He strong of wing hath lightened up the regions deep-quivering Asura the gentle Leader. 
8,The earth's eight points his brightness hath illumined three desert regions and the Seven Rivers. 
9,The golden-handed Savitar far-seeing goes on his way between the earth and heaven 
10,May he gold-handed Asura kind Leader come hither to us with his help and favour. 
1,WITH words sent forth in holy hymns Agni we supplicate the Lord Of many families who duly serve the Gods yea him whom others also praise. 
2,Men have won Agni him who makes their strength abound: we with oblations worship thee. Our gracious-minded Helper in our deeds of might be thou O Excellent this day. 
3,Thee for our messenger we choose thee the Omniscient for our Priest. 
4,The Gods enkindle thee their ancient messenger - Varuna Mitra Aryaman. 
5,Thou Agni art a cheering Priest Lord of the House men's messenger: 
6,In thee the auspicious One O Agni youthfullest each sacred gift is offered up: 
7,To him in his own splendour bright draw near in worship the devout. 
8,Vrtra they smote and slew and made the earth and heaven and firmament a wide abode. 
9,Seat thee for thou art mighty; shine best entertainer of the Gods. 
10,Bearer of offerings whom best sacrificing Priest the Gods for Manu's sake ordained; 
1,1 Him Agni whom Medhyatithi whom Kanva kindled for his rite 
12,Make our wealth perfect thou O Agni Lord divine: for thou hast kinship with the Gods. Thou rulest as a King o'er widely-famous strength: be good to us for thou art great. 
13,Stand up erect to lend us aid stand up like Savitar the God: 
14,Erect preserve us from sore trouble; with thy flame burn thou each ravening demon dead. Raise thou us up that we may walk and live so thou shalt find our worship mid the Gods. 
15,Preserve us Agni from the fiend preserve us from malicious wrong. 
16,Smite down as with a club thou who hast fire for teeth smite thou the wicked right and left. Let not the man who plots against us in the night nor any foe prevail o'er us. 
17,Agni hath given heroic might to Kainva and felicity: 
18,We call on Ugradeva Yadu Turvasa by means of Agni from afar; 
19,Manu hath stablished thee a light Agni for all the race of men: 
20,The flames of Agni full of splendour and of might are fearful not to be approached. Consume for ever all demons and sorcerers consume thou each devouring fiend. 
1,SING forth 0 Kanvas to your band of Maruts unassailable 
2,They who self-luminous were born together with the spotted deer 
3,One hears as though 'twere close at hand the cracking of the whips they hold They gather glory on their way. 
4,Now sing ye forth the God-given hymn to your exultant Marut host. 
5,Praise ye the Bull among the cows; for 'tis the Maruts' sportive band: 
6,Who is your mightiest Heroes when O shakers of the earth and heaven 
7,At your approach man holds him down before the fury of your wrath: 
8,They at whose racings forth the earth like an age-weakened lord of men Trembles in terror on their ways. 
9,Strong is their birth: vigour have they to issue from their Mother; strength. Yea even twice enough is theirs. 
10,And these the Sons the Singers in their racings have enlarged the bounds So that the kine must walk knee-deep. 
1,1 Before them on the ways they go they drop this offspring of the cloud Long broad and inexhaustible. 
12,O Maruts as your strength is great so have ye cast men down on earth. 
13,The while the Maruts pass along they talk together on the way: 
14,Come quick with swift steeds for ye have worshippers among Kanva’s sons May you rejoice among them well. 
15,All is prepared for your delight. We are their servants evermore 
1,WHAT now? When will ye take us by both hands as a dear sire his son Gods for whom sacred grass is clipped? 
2,Now whither? To what goal of yours go ye in heaven and not on earth? Where do your cows disport themselves? 
3,Where are your newest favours shown? Where Maruts your prosperity? Where all your high felicities? 
4,If O ye Maruts ye the Sons whom Prsni bore were mortal and Immortal he who sings your praise. 
5,Then never were your praiser loathed like a wild beast in pasture-land. Nor should he go on Yama's path. 
6,Let not destructive plague on plague hard to be conquered strike its down: Let each with drought depart from us. 
7,Truly they the fierce and mighty Sons of Rudra send their windless Rain e'en on the desert places. 
8,Like a cow the lightning lows and follows motherlike her youngling 
9,When they inundate the earth they spread forth darkness e'en in day time 
10,O Maruts at your voice's sound this earthly habitation shakes 
110,Maruts with your strong-hoofed steeds unhindered in their courses haste Along the bright embanked streams. 
12,Firm be the fellies of your wheels steady your horses and your cars 
13,Invite thou hither with this song for praise Agni the Lord of Prayer 
14,Form in thy mouth the hymn of praise expand thee like a rainy cloud Sing forth the measured eulogy. 
15,Sing glory to the Marut host praiseworthy tuneful vigorous: 
1,WHEN thus like flame from far away Maruts ye cast your measure forth. 
2,Strong let your weapons be to drive away your foes firm for resistance let them be. 
3,When what is strong ye overthrow and whirl about each ponderous thing. 
4,Consumers of your foes no enemy of yours is found in heaven or on the earth: 
5,They make the mountains rock and reel they rend the forest-kings apart. 
6,Ye to your chariot have yoked the spotted deer: a red deer as a leader draws. 
7,O Rudras quickly we desire your succour for this work of ours. 
8,Should any monstrous foe O Maruts sent by you or sent by mortals threaten us 
9,For ye the worshipful and wise have guarded Kanva perfectly. 
10,Whole strength have ye O Bounteous Ones; perfect earth-shakers is your might. 
1,O BRAMANASPATI stand up: God-serving men we pray to thee. 
2,O Son of Strength each mortal calls to thee for aid when spoil of battle waits for him. 
3,May Brahmanaspati draw nigh may Sunrta the Goddess come 
4,He who bestows a noble guerdon on the priest wins fame that never shall decay. 
5,Now Brahmanaspati speaks forth aloud the solemn hymn of praise 
6,May we in holy synods Gods! recite that hymn peerless that brings felicity. 
7,Who shall approach the pious? who the man whose sacred grass is trimmed? 
8,He amplifies his lordly might with kings he slays: e'en mid alarms he dwells secure In great or lesser fight none checks him none subdues -the wielder of the thunderbolt. 
1,NE'ER is he injured whom the Gods Varuna Mitra Aryaman 
2,He prospers ever free from scathe whom they as with full hands enrich. Whom they preserve from every foe. 
3,The Kings drive far away from him his troubles and his enemies 
4,Thornless Adityas is the path easy for him who seeks the Law: 
5,What sacrifice Adityas ye Heroes guide by the path direct - May that come nigh unto your thought. 
6,That mortal ever unsubdued gains wealth and every precious thing 
7,How my friends shall we prepare Aryaman's and Mitra's laud 
8,1 point not out to you a man who strikes the pious or reviles: 
9,Let him not love to speak ill words: but fear the One who holds all four Within his hand until they fall. 
1,SHORTEN our ways O Pusan move aside obstruction in the path: 
2,Drive Pusan from our road the wolf the wicked inauspicious wolf Who lies in Wait to injure us. 
3,Who lurks about the path we take the robber with a guileful heart: 
4,Tread with thy foot and trample out the firebrand of the wicked one The double-tongued whoe'er he be. 
5,Wise Pusan Wonder-Worker we claim of thee now the aid wherewith 
